id,name,symbol,sector,industry
72,Trident Microsystems Inc,TRIDQ,INFORMATION TECHNOLOGY,SEMICONDUCTORS
104,Accuray Inc,ARAY,HEALTH CARE,HEALTH CARE SUPPLIES
105,Brookfield Office Properties Inc,BPO,FINANCE,REAL ESTATE & REITS
106,Canadian Natural Resources Ltd,CNQ,ENERGY,OIL & GAS PRODUCTION
107,Sonde Resources,SOQ,ENERGY,ENERGY PRODUCERS
109,Cano Petroleum,CANOQ,ENERGY,ENERGY PRODUCERS
110,Canadian Imperial Bank Of Commerce,CM,FINANCE,BANKS
111,Atlanticus Holdings Corp,ATLC,FINANCE,CONSUMER FINANCE
112,Ovintiv Inc,OVV,ENERGY,OIL & GAS PRODUCTION
113,Foundry Networks Inc,FDRY,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
114,GE Aerospace,GE,INDUSTRIALS,CONGLOMERATES
115,Geron Corp,GERN,HEALTH CARE,PHARMACEUTICALS
116,GoldCorp Inc,GG,MATERIALS,GOLD & SILVER
117,Iamgold Corp,IAG,MATERIALS,GOLD & SILVER
119,Kingsway Financial Services Inc,KFS,FINANCE,INSURANCE
120,Kodiak Oil & Gas Corp,KOG,ENERGY,ENERGY PRODUCERS
121,LORUS THERAPEUTICS INC (NEW),LRP,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
124,ODP Corporation (The),ODP,CONSUMER DISCRETIONARY,RETAIL - GENERAL
125,Royal Bank Of Canada,RY,FINANCE,BANKS
126,SCANA Corp. 7.70% Enhanced Junior Subordinated Notes 2009 Series A,SCU,COMMUNICATIONS,TELEPHONE
127,Suncor Energy Inc,SU,ENERGY,OIL & GAS PRODUCTION
128,Texas Instruments Inc,TXN,INFORMATION TECHNOLOGY,SEMICONDUCTORS
129,Tim Hortons Inc. ADR,THI,CONSUMER DISCRETIONARY,RESTAURANTS
131,TransAlta Corp. ADR,TAC,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - ELECTRIC
132,Yamana Gold Inc,AUY,MATERIALS,GOLD & SILVER
136,First Marblehead Corp. (The),FMD,FINANCE,FINANCE
138,Lowes Companies Inc,LOW,CONSUMER DISCRETIONARY,RETAIL - SPECIALTY
139,MarketAxess Holdings Inc,MKTX,FINANCE,GENERAL FINANCE
142,Talisman Energy Inc,TLM,ENERGY,ENERGY
146,Corning Inc,GLW,MATERIALS,WOOD & PAPER
153,UnitedHealth Group Inc,UNH,HEALTH CARE,HEALTH CARE SERVICES
156,Cameco Corp,CCJ,ENERGY,OIL & GAS PRODUCTION
163,Pinnacle Airlines Corp,PNCLQ,TRANSPORTS,AIRLINES & AIR SERVICES
166,Angiotech Pharmaceuticals Inc Ordinary,ANPMF,HEALTH CARE,PHARMACEUTICALS
171,Enbridge Inc,ENB,ENERGY,OIL & GAS PRODUCTION
173,Ontrak Inc,OTRK,HEALTH CARE,HEALTH CARE SERVICES
174,Immersion Corp,IMMR,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
176,Lennox International Inc,LII,INDUSTRIALS,CONSTRUCTION & ENGINEERING
178,Microsoft Corporation,MSFT,INFORMATION TECHNOLOGY,SOFTWARE
180,OSI Pharmaceuticals Inc,OSIP,HEALTH CARE,PHARMACEUTICALS
181,Pan American Silver Corp,PAAS,MATERIALS,GOLD & SILVER
185,TJX Companies Inc,TJX,CONSUMER DISCRETIONARY,RETAIL - SPECIALTY
187,3Com Corp,COMS-1,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
188,3M Co.,MMM,INDUSTRIALS,CONGLOMERATES
189,Abbott Laboratories,ABT,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
190,AFLAC Inc,AFL,FINANCE,INSURANCE
191,Altria Group Inc.,MO,CONSUMER STAPLES,TOBACCO
192,ProLogis Inc,PLD,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
193,American International Group Inc,AIG,FINANCE,INSURANCE
194,Analog Devices Inc,ADI,INFORMATION TECHNOLOGY,SEMICONDUCTORS
195,Apple Inc,AAPL,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
196,Applied Signal Technology Inc,APSG,INDUSTRIALS,AEROSPACE & DEFENSE
197,Archer Daniels Midland Co.,ADM,CONSUMER STAPLES,FOOD PRODUCTS
198,ARRIS International Plc,ARRS,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
200,AT&T Inc.,T,UTILITIES AND TELECOMMUNICATIONS,TELEPHONE
201,Automatic Data Processing Inc,ADP,INFORMATION TECHNOLOGY,IT SERVICES
202,AvalonBay Communities Inc,AVB,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
203,Avon Products Inc,AVP,CONSUMER STAPLES,PERSONAL PRODUCTS
204,Bank Of Nova Scotia,BNS,FINANCE,BANKS
205,Bank Of America Corp.,BAC,FINANCE,BANKS
206,Baxter International Inc,BAX,HEALTH CARE,HEALTH CARE SUPPLIES
207,Beacon Roofing Supply Inc,BECN,INDUSTRIALS,DISTRIBUTORS
208,Best Buy Co. Inc,BBY,CONSUMER DISCRETIONARY,RETAIL - GENERAL
209,Option Care Health Inc.,OPCH,HEALTH CARE,HEALTH CARE SERVICES
210,Boeing Co.,BA,INDUSTRIALS,AEROSPACE & DEFENSE
211,BXP Inc.,BXP,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
212,Cameron International Corp,CAM,ENERGY,ENERGY
213,CastlePoint Holdings Ltd,CPHL,FINANCE,INSURANCE
214,Chevron Corp.,CVX,ENERGY,INTEGRATED OIL & GAS
215,Cisco Systems Inc,CSCO,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
216,Citigroup Inc,C,FINANCE,BANKS
217,Colgate-Palmolive Co,CL,CONSUMER STAPLES,PERSONAL PRODUCTS
218,Conoco Phillips,COP,ENERGY,INTEGRATED OIL & GAS
219,Majestic Capital Ltd,MAJCQ,FINANCE,INSURANCE
220,CSX Corp,CSX,TRANSPORTS,RAILROADS
221,CVS Health Corp,CVS,CONSUMER STAPLES,RETAIL - FOOD & DRUG
222,Deere & Co,DE,INDUSTRIALS,MACHINERY
223,Dominion Energy Inc,D,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - ELECTRIC
224,DOT HILL SYSTEMS CORP,HILL,INFORMATION TECHNOLOGY,INFORMATION TECHNOLOGY
225,DuPont de Nemours Inc,DD,MATERIALS,CHEMICALS
226,Eaton Corporation plc,ETN,CONSUMER DISCRETIONARY,AUTOMOBILE PARTS
227,Emerson Electric Co,EMR,INDUSTRIALS,ELECTRICAL EQUIPMENT
228,Exxon Mobil Corp.,XOM,ENERGY,INTEGRATED OIL & GAS
229,General Dynamics Corp.,GD,INDUSTRIALS,AEROSPACE & DEFENSE
230,General Growth Properties Inc. (DE),GGP,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
231,Gilead Sciences Inc,GILD,HEALTH CARE,PHARMACEUTICALS
232,Goldman Sachs Group Inc,GS,FINANCE,GENERAL FINANCE
233,Hartford Insurance Group Inc.(The),HIG,FINANCE,INSURANCE
234,HP Inc,HPQ,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
235,Illinois Tool Works Inc,ITW,INDUSTRIALS,MACHINERY
236,Intel Corp,INTC,INFORMATION TECHNOLOGY,SEMICONDUCTORS
237,International Business Machines Corp,IBM,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
238,InterVoice Inc,INTV,INFORMATION TECHNOLOGY,SOFTWARE
239,Johnson & Johnson,JNJ,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
240,JPMorgan Chase & Co.,JPM,FINANCE,BANKS
241,Kimberly-Clark Corp,KMB,CONSUMER STAPLES,HOUSEHOLD PRODUCTS
242,Lattice Semiconductor Corp.,LSCC,INFORMATION TECHNOLOGY,SEMICONDUCTORS
243,Lawson Software Inc,LWSN,INFORMATION TECHNOLOGY,SOFTWARE
244,Lilly(Eli) & Co,LLY,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
245,Lockheed Martin Corp,LMT,INDUSTRIALS,AEROSPACE & DEFENSE
246,Loews Corp,L,FINANCE,INSURANCE
247,Macerich Co.,MAC,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
248,Magma Design Automation Inc,LAVA,INFORMATION TECHNOLOGY,SOFTWARE
249,Marathon Oil Corporation,MRO,ENERGY,INTEGRATED OIL & GAS
250,McDonalds Corp,MCD,CONSUMER DISCRETIONARY,RESTAURANTS
251,S&P Global Inc,SPGI,COMMUNICATIONS,PUBLISHING
252,Mckesson Corporation,MCK,HEALTH CARE,HEALTH CARE SERVICES
253,Evoq Proper Inc,EVOQ,REAL ESTATE,REAL ESTATE
254,MGM Resorts International,MGM,CONSUMER DISCRETIONARY,CASINOS & GAMING
255,Microchip Technology Inc,MCHP,INFORMATION TECHNOLOGY,SEMICONDUCTORS
256,Midwest Banc Holdings Inc,MBHIQ,FINANCE,BANKS & THRIFTS
257,Monaco Coach Corp,MCOAQ,CONSUMER DISCRETIONARY,AUTOMOBILES & PARTS
258,Nordstrom Inc,JWN,CONSUMER DISCRETIONARY,RETAIL - GENERAL
259,Noven Pharmaceuticals Inc,NOVN,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
261,NVIDIA Corp,NVDA,INFORMATION TECHNOLOGY,SEMICONDUCTORS
262,OMNIVISION TECHNOLOGIES INC,OVTI,INFORMATION TECHNOLOGY,INFORMATION TECHNOLOGY
264,PepsiCo Inc,PEP,CONSUMER STAPLES,BEVERAGES
265,Pfizer Inc,PFE,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
266,Physicians Formula Holdings Inc,FACE,CONSUMER STAPLES,PERSONAL PRODUCTS
267,Nutrien Ltd,NTR,MATERIALS,CHEMICALS
268,POWERWAVE TECHNOLOGIES INC COM STK,PWAVQ,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
269,Linde Plc,LIN,MATERIALS,CHEMICALS
270,Precision Castparts Corp,PCP,INDUSTRIALS,INDUSTRIALS
271,T. Rowe Price Group,TROW,FINANCE,CORPORATE FINANCE
272,Procter & Gamble Co.,PG,CONSUMER STAPLES,HOUSEHOLD PRODUCTS
273,QUALCOMM Inc,QCOM,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
274,RehabCare Group,RHB,HEALTH CARE,HEALTH CARE SERVICES
275,ROSETTA RESOURCES INC,ROSE,ENERGY,ENERGY
276,Schlumberger Ltd,SLB,ENERGY,ENERGY EQUIPMENT & SERVICES
277,SHFL Entertainment Inc,SHFL,CONSUMER DISCRETIONARY,CASINOS & GAMING
278,Simon Property Group Inc,SPG,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
279,SL Green Realty Corp,SLG,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
280,Stantec Inc,STN,INDUSTRIALS,COMMERCIAL SERVICES & SUPPLIES
281,State Street Corp.,STT,FINANCE,BANKS
282,Stryker Corp,SYK,HEALTH CARE,HEALTH CARE SUPPLIES
283,Taubman Centers Inc,TCO,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
284,Time Warner Inc. (New),TWX,COMMUNICATIONS,BROADCASTING
285,RTX Corp,RTX,INDUSTRIALS,AEROSPACE & DEFENSE
286,Verizon Communications Inc,VZ,UTILITIES AND TELECOMMUNICATIONS,TELEPHONE
287,Wachovia Corp,WB,FINANCE,BANKS & THRIFTS
288,World Kinect Corp,WKC,ENERGY,OIL & GAS PRODUCTION
289,Ambac Financial Group Inc,ABKFQ,FINANCE,INSURANCE
290,American Equity Investment Life Holding Co,AEL,FINANCE,INSURANCE
292,Cardinal Health Inc,CAH,HEALTH CARE,HEALTH CARE SERVICES
293,Dover Corp,DOV,INDUSTRIALS,MACHINERY
294,Essex Property Trust Inc,ESS,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
295,Houston Wire & Cable Co,HWCC,INDUSTRIALS,DISTRIBUTORS
297,Medtronic Plc,MDT,HEALTH CARE,HEALTH CARE SUPPLIES
299,Northern Trust Corp,NTRS,FINANCE,BANKS
302,Qwest Communications International Inc,Q,COMMUNICATIONS,""
303,RC2 Corp,RCRC,CONSUMER DISCRETIONARY,LEISURE GOODS
304,SILICON IMAGE INC,SIMG,INFORMATION TECHNOLOGY,INFORMATION TECHNOLOGY
305,Target Corp,TGT,CONSUMER DISCRETIONARY,RETAIL - GENERAL
307,Ultratech Inc,UTEK,INFORMATION TECHNOLOGY,SEMICONDUCTORS
308,Walgreens Boots Alliance Inc,WBA,CONSUMER STAPLES,RETAIL - FOOD & DRUG
309,Wells Fargo & Co,WFC,FINANCE,BANKS
312,Celgene Corp,CELG,HEALTH CARE,PHARMACEUTICALS
313,Cost Plus Inc,CPWM,CONSUMER DISCRETIONARY,RETAIL - SPECIALTY
314,Douglas Emmett Inc,DEI,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
315,Greenbrier Cos. Inc.,GBX,INDUSTRIALS,MACHINERY
317,Inphonic Inc,INPC,COMMUNICATIONS,""
318,MarineMax Inc,HZO,CONSUMER DISCRETIONARY,RETAIL - SPECIALTY
322,Perrigo Company plc,PRGO,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
324,United Rentals Inc,URI,INDUSTRIALS,DISTRIBUTORS
325,Amgen Inc,AMGN,HEALTH CARE,PHARMACEUTICALS
328,Black & Decker Corp,BDK,CONSUMER DISCRETIONARY,HOUSEHOLD DURABLES
330,Con-Way Inc,CNW,TRANSPORTS,TRANSPORTS
331,ECC Capital Corporation,ECROE,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
332,Excel Maritime,EXMCQ,TRANSPORTS,MARINE
333,GrafTech International Ltd,GTI,INDUSTRIALS,INDUSTRIALS
338,J C Penney Company Inc,CPPRQ,CONSUMER DISCRETIONARY,RETAIL - GENERAL
339,Premiere Global Services Inc,PGI,COMMUNICATIONS,TELEPHONE
340,Principal Financial Group Inc,PFG,FINANCE,INSURANCE
341,Redwood Trust Inc,RWT,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
342,Rohm & Haas Co,ROH,MATERIALS,CHEMICALS
343,Sysco Corp,SYY,CONSUMER STAPLES,RETAIL - FOOD & DRUG
345,Walmart Inc,WMT,CONSUMER STAPLES,RETAIL - FOOD & DRUG
346,Aquila Inc,ILA,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - ELECTRIC
350,EPIQ Systems Inc,EPIQ,INFORMATION TECHNOLOGY,INFORMATION TECHNOLOGY
353,Helen Of Troy Ltd,HELE,CONSUMER STAPLES,PERSONAL PRODUCTS
354,Home Depot Inc.,HD,CONSUMER DISCRETIONARY,RETAIL - SPECIALTY
360,Starbucks Corp,SBUX,CONSUMER DISCRETIONARY,RESTAURANTS
363,Air Products & Chemicals Inc,APD,MATERIALS,CHEMICALS
364,Howmet Aerospace Inc,HWM,INDUSTRIALS,AEROSPACE & DEFENSE
365,Allstate Corp (The),ALL,FINANCE,INSURANCE
366,AMERIANA BANCORP,ASBI,FINANCE,BANKS & THRIFTS
367,American Electric Power Company Inc,AEP,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - ELECTRIC
368,American Express Co,AXP,FINANCE,CONSUMER FINANCE
369,Ametek Inc,AME,INDUSTRIALS,ELECTRICAL EQUIPMENT
370,Anadarko Petroleum Corp,APC,ENERGY,OIL & GAS PRODUCERS
371,Andresmin Gold,ADGD,MATERIALS,MINING
372,Anheuser-Busch InBev SA/NV,BUD,CONSUMER STAPLES,BEVERAGES
373,APA Corporation,APA,ENERGY,OIL & GAS PRODUCTION
374,Essential Utilities Inc,WTRG,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - WATER
375,Avnet Inc,AVT,INFORMATION TECHNOLOGY,ELECTRONIC EQUIPMENT
376,Bard (C.R.) Inc,BCR,HEALTH CARE,HEALTH CARE SUPPLIES
377,ANI Pharmaceuticals Inc,ANIP,HEALTH CARE,PHARMACEUTICALS
378,H&R Block Inc.,HRB,CONSUMER DISCRETIONARY,CONSUMER SERVICES
379,Boston Scientific Corp.,BSX,HEALTH CARE,HEALTH CARE SUPPLIES
380,Bristol-Myers Squibb Co,BMY,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
381,Bullion River Gold Corp,BLRV,MATERIALS,MINING
382,Cabot Corp,CBT,MATERIALS,CHEMICALS
383,CanAlaska Uranium Ltd,CVVUF.OB1,"",""
384,CARBO Ceramics Inc,CRRTQ,ENERGY,ENERGY EQUIPMENT & SERVICES
385,Caterpillar Inc,CAT,INDUSTRIALS,MACHINERY
386,Coca-Cola Co,KO,CONSUMER STAPLES,BEVERAGES
387,Coleman Cable Inc,CCIX,INDUSTRIALS,ELECTRICAL EQUIPMENT
388,Complete Production Services Inc,CPX,ENERGY,ENERGY EQUIPMENT & SERVICES
389,DXC Technology Co,DXC,INFORMATION TECHNOLOGY,IT SERVICES
390,Connacher Oil,CLLZF,ENERGY,ENERGY
391,ConAgra Brands Inc,CAG,CONSUMER STAPLES,FOOD PRODUCTS
392,Anixa Biosciences Inc,ANIX,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
393,Costco Co,COST,CONSUMER STAPLES,RETAIL - FOOD & DRUG
394,Deep Well Oil & Gas Inc,DWOG,INDUSTRIALS,MACHINERY
395,Walt Disney Co. (The),DIS,COMMUNICATIONS,ENTERTAINMENT
396,E. I. du Pont de Nemours & Co. (delisted after merger with Dow 2017),DD,MATERIALS,CHEMICALS
397,Duke Energy Corp,DUK,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - MULTILINE
398,EMC Corporation,EMC,INFORMATION TECHNOLOGY,INTERNET & IT SERVICES
399,eBay Inc,EBAY,CONSUMER DISCRETIONARY,RETAIL - INTERNET & MEDIA
400,Education Realty Trust Inc,EDR,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
401,Entree Resources Ltd,ERLFF,MATERIALS,GOLD & SILVER
402,Equus Total Return Inc,EQS,FINANCE,GENERAL FINANCE
403,Esterline Technologies Corp,ESL,INDUSTRIALS,AEROSPACE & DEFENSE
404,Exelon Corp,EXC,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - MULTILINE
405,Fifth Third Bancorp,FITB,FINANCE,BANKS
406,1st Source Corp,SRCE,FINANCE,BANKS
407,Fluor Corporation,FLR,INDUSTRIALS,CONSTRUCTION & ENGINEERING
408,Freegold Ventures Ltd,FGOVF,MATERIALS,GOLD & SILVER
409,Global Payments Inc,GPN,INFORMATION TECHNOLOGY,IT SERVICES
410,W.W. Grainger Inc.,GWW,INDUSTRIALS,DISTRIBUTORS
411,Halliburton Co,HAL,ENERGY,ENERGY EQUIPMENT & SERVICES
412,L3harris Technologies Inc,LHX,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
413,Heinz (H.J.) Co,HNZ,CONSUMER STAPLES,FOOD PRODUCTS
414,Hess Corporation,HES,ENERGY,OIL & GAS PRODUCTION
416,Honeywell International Inc,HON,INDUSTRIALS,AEROSPACE & DEFENSE
417,Humana Inc,HUM,HEALTH CARE,HEALTH CARE SERVICES
418,iCAD Inc,ICAD,HEALTH CARE,HEALTH CARE SUPPLIES
419,Idex Corporation,IEX,INDUSTRIALS,MACHINERY
420,Johnson Controls Inc. - delisted 2016-9-2,JCI,CONSUMER DISCRETIONARY,CONSUMER DISCRETIONARY
421,Kayne Anderson Energy Infrastructure Fund Inc.,KYN,MUTUAL FUND,OIL & GAS PRODUCTION
422,Keycorp,KEY,FINANCE,BANKS
423,Kirby Corp,KEX,TRANSPORTS,SHIPPING
424,Lakeland Financial Corp,LKFN,FINANCE,BANKS
425,Lincoln National Corp,LNC,FINANCE,INSURANCE
426,Niobay Metals,NBYCF,MATERIALS,GOLD & SILVER
427,Macy`s Inc,M,CONSUMER DISCRETIONARY,RETAIL - GENERAL
428,Manulife Financial Corp,MFC,FINANCE,INSURANCE
429,Maxim Integrated Products Inc,MXIM,INFORMATION TECHNOLOGY,SEMICONDUCTORS
430,Medco Health Solutions Inc,MHS,HEALTH CARE,HEALTH CARE SERVICES
431,Merck & Co Inc,MRK,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
432,MetLife Inc,MET,FINANCE,INSURANCE
433,Motorola Solutions Inc,MSI,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT
434,Mountain Province Diamonds Inc,MPVDF,MATERIALS,COPPER & ZINC
435,National City Corp,NCC,FINANCE,BANKS & THRIFTS
436,National Fuel Gas Co,NFG,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - GAS
437,National Health Investors Inc,NHI,REAL ESTATE,REAL ESTATE INVESTMENT TRUSTS
438,Newmont Corp,NEM,MATERIALS,GOLD & SILVER
439,NiSource Inc,NI,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - MULTILINE
440,Norfolk Southern Corp,NSC,TRANSPORTS,RAILROADS
441,NXG NextGen Infrastructure Income Fund,NXG,MUTUAL FUND,MINING
442,Occidental Petroleum Corp,OXY,ENERGY,INTEGRATED OIL & GAS
443,OILSANDS QUEST INC COM STK,OBQI,ENERGY,ENERGY PRODUCERS
444,Omnicom Group Inc,OMC,COMMUNICATIONS,ADVERTISING
445,OPTI Canada Inc,OPCDF,ENERGY,ENERGY
446,Pacific Gold Corp,PCFG,MATERIALS,MINING
447,Pall Corp,PLL,INDUSTRIALS,INDUSTRIALS
448,Parker-Hannifin Corp,PH,INDUSTRIALS,MACHINERY
449,Petrolifera Petroleum Ltd,PRFPF,ENERGY,ENERGY PRODUCERS
450,Progressive Corp,PGR,FINANCE,INSURANCE
451,RANDSBURG INTL GOLD CORP,RBGDF,"",""
452,Raytheon Co,RTN,INDUSTRIALS,AEROSPACE & DEFENSE
453,REG Technologies Inc,REGRF,CONSUMER DISCRETIONARY,AUTOMOBILES & PARTS
454,Rockwell Collins Inc,COL,INDUSTRIALS,AEROSPACE & DEFENSE
455,Battle North Gold Corp,BNAUF,MATERIALS,GOLD & SILVER
457,Sonoco Products Co,SON,MATERIALS,WOOD & PAPER
458,Southwest Airlines Co,LUV,TRANSPORTS,AIRLINES & AIR SERVICES
459,Southwest Gas Holdings Inc,SWX,UTILITIES AND TELECOMMUNICATIONS,UTILITIES - GAS
460,Spectra Energy Corp,SE,ENERGY,OIL & GAS PRODUCERS
461,Sprint Corp,S,UTILITIES AND TELECOMMUNICATIONS,TELEPHONE
462,STANDARD BANCSHARES,SDAB,"",""
463,Stornoway Diamond Corporation,SWYDF,MATERIALS,COPPER & ZINC
464,Sun Life Financial Inc,SLF,FINANCE,INSURANCE
465,Sun Microsystems Inc,JAVA,INFORMATION TECHNOLOGY,COMPUTERS & PERIPHERALS
466,Gen Digital Inc,GEN,INFORMATION TECHNOLOGY,SOFTWARE
467,Textron Inc,TXT,INDUSTRIALS,CONGLOMERATES
468,Thermo Fisher Scientific Inc,TMO,HEALTH CARE,BIOTECHNOLOGY & LIFE SCIENCES
469,Thor Industries Inc,THO,CONSUMER DISCRETIONARY,AUTOMOBILES AND MOTORCYCLES
470,Travelers Companies Inc.,TRV,FINANCE,INSURANCE
